iso3,country,trust_interp,spend_pc_eur,spend_pc_usd
DNK,Denmark,73.86647,116.00204562747128,125.51421336892393
NOR,Norway,72.09141,35.81719312717982,38.75420296360857
FIN,Finland,68.35999,25.161889801706337,27.22516476544626
CHN,China,63.48947,NA,NA
SWE,Sweden,62.76585,15.244893435913852,16.49497469765879
ISL,Iceland,62.27,134.8779393332955,145.93793035862575
CHE,Switzerland,58.53579,47.303662857606334,51.18256321193006
NLD,Netherlands,57.02047,88.70777530949329,95.98181288487174
NZL,New Zealand,56.57521,NA,NA
AUT,Austria,49.77389,12.872370664526251,13.927905059017405
AUS,Australia,48.53989,NA,NA
CAN,Canada,46.69302,NA,NA
GBR,United Kingdom,43.31179,NA,NA
DEU,Germany,41.61021,28.766158812224006,31.124983834826377
MAC,Macao,41.44672,NA,NA
ESP,Spain,40.96439,42.86127746862501,46.375902221052264
BLR,Belarus,40.04594,NA,NA
USA,United States,37.02172,NA,NA
HKG,Hong Kong,36.37148,NA,NA
SGP,Singapore,34.39151,NA,NA
EST,Estonia,33.94373,24.59945354071063,26.616608731048903
JPN,Japan,33.70288,NA,NA
UZB,Uzbekistan,33.6,NA,NA
KOR,South Korea,32.93173,NA,NA
LTU,Lithuania,31.69582,14.874291240022412,16.09398312170425
TWN,Taiwan,30.79179,NA,NA
THA,Thailand,28.88868,NA,NA
UKR,Ukraine,28.34588,NA,NA
VNM,Vietnam,27.66667,NA,NA
CZE,Czechia,27.31138,59.30254262075862,64.16535111566084
HUN,Hungary,27.15409,23.844385850289342,25.79962549001307
ITA,Italy,26.55384,47.74802791068004,51.663366199355806
AZE,Azerbaijan,26.30006,NA,NA
FRA,France,26.25627,28.547839066521753,30.888761869976538
MNG,Mongolia,25.98135,NA,NA
AND,Andorra,25.49801,NA,NA
SVN,Slovenia,25.26486,17.336081913223225,18.75764063010753
POL,Poland,24.11202,6.0646895869307,6.5619941330590175
PAK,Pakistan,23.30827,NA,NA
RUS,Russia,22.87902,NA,NA
KAZ,Kazakhstan,22.80564,NA,NA
LVA,Latvia,22.19023,6.278891474901054,6.793760575842941
MNE,Montenegro,21.74356,NA,NA
SVK,Slovakia,21.59557,20.888624946396916,22.601492192001466
MDV,Maldives,21.07796,NA,NA
TJK,Tajikistan,20.58333,NA,NA
MYS,Malaysia,19.5735,NA,NA
ARG,Argentina,19.18133,NA,NA
GTM,Guatemala,17.9821,NA,NA
PRI,Puerto Rico,17.6575,NA,NA
ARM,Armenia,17.51707,NA,NA
BGR,Bulgaria,17.09326,1.2562599744715566,1.3592732923782243
IND,India,16.93882,NA,NA
PRT,Portugal,16.91347,15.370956066147812,16.631374463571934
MAR,Morocco,16.5,NA,NA
SRB,Serbia,16.3166,NA,NA
JOR,Jordan,15.87697,NA,NA
MMR,Myanmar,15.08333,NA,NA
MKD,North Macedonia,15.05892,NA,NA
IRN,Iran,14.80987,NA,NA
URY,Uruguay,14.47495,NA,NA
VEN,Venezuela,14.20168,NA,NA
TUR,Turkey,13.99586,NA,NA
TUN,Tunisia,13.8245,NA,NA
HRV,Croatia,13.57521,27.4481717751774,29.698921860741947
NGA,Nigeria,13.00635,NA,NA
BGD,Bangladesh,12.91667,NA,NA
CHL,Chile,12.90272,NA,NA
KGZ,Kyrgyzstan,12.80132,NA,NA
ROU,Romania,12.13196,0.04198322895952754,0.0454258537342088
ETH,Ethiopia,11.86992,NA,NA
IRQ,Iraq,11,NA,NA
MEX,Mexico,10.48835,NA,NA
LBN,Lebanon,9.916667,NA,NA
BIH,Bosnia and Herzegovina,9.64249,NA,NA
KEN,Kenya,9.478673,NA,NA
LBY,Libya,9.113712,NA,NA
GEO,Georgia,9.017171,NA,NA
BOL,Bolivia,8.514756,NA,NA
GRC,Greece,8.447196,0.769092628362521,0.8321582238882478
EGY,Egypt,7.333333,NA,NA
CYP,Cyprus,6.596476,7.270167867122404,7.866321632226442
BRA,Brazil,6.524758,NA,NA
ECU,Ecuador,5.75,NA,NA
PHL,Philippines,5.330985,NA,NA
IDN,Indonesia,4.637319,NA,NA
COL,Colombia,4.539474,NA,NA
NIC,Nicaragua,4.25,NA,NA
PER,Peru,4.161271,NA,NA
ALB,Albania,2.77237,NA,NA
ZWE,Zimbabwe,2.139918,NA,NA
BEL,NA,NA,32.206980347780885,34.84795273629892
IRL,NA,NA,25.43918640132261,27.525199686231065
LUX,NA,NA,158.8961409423903,171.92562449966633
MLT,NA,NA,80.06626682729116,86.63170070712904
